cleavage   n.裂缝，分裂
cleft   n.裂缝
clement   adj.仁慈的，温和的
clemency   n.仁慈，(气候)温和
clench   v.握紧，咬紧(牙关)
clinch   v.钉牢，彻底决定
clientele   n.(医生、律师的)顾客，(商店的)常客
clique   n.朋党派系，小集团
cloister   n.修道院
cloistered   adj.隐居的
closure   n.关闭，中山
clot   n.凝块，v.使凝成块
cloudburst   n.大暴雨，豪雨
cloy   n.(吃甜食)生腻，吃腻
cloying   adj.甜得发腻的
clumsy   adj.笨拙的，拙劣的
cluster   n.串，束，群，v.成群，成串
coagulate   v.凝结，使凝结
coagulant   n.凝结剂
coalesce   v.联合，合并，结合
coalition   n.结合，联合
coax   v.哄诱，巧言诱哄
cobbler   n.补鞋匠
coerce   v.强迫，压制
coercion   n.强制，高压统治
coffer   n.保险箱
cogent   adj.有说服力的
cogency   n.说服力，中肯
cogitate   v.慎重思考，思索
cogitation   n.思考，苦思
cognate   adj.同词源的，同类的
cognomen   n.姓
coherent   adj.连贯的，一致的
cohesive   adj.凝聚的，凝结的
cohesion   n.内聚力
coincide   v.巧合，一致
coincidence   n.巧合(之事)
colander   n.滤器，漏勺
collage   n.拼贴画
collate   v.对照，核对
collation   n.校勘，整理
collateral   adj.平行的，旁系的
collateral   n.抵押品
collide   v.碰撞，冲突
collision   n.碰撞，冲突
collude   v.串通，共谋
collusion   n.勾结，串通
colloquium   n.学术讨论会
colossal   adj.巨大的，庞大的
colossus   adj.巨人，巨型雕像
colt   n.小雄驹
coltish   adj.放浪不拘的，似小马的
coma   n.昏迷状态
comatose   adj.昏迷的
combustible   adj.易燃的，易激动的
combustion   n.燃烧
comely   adj.动人的，美丽的
commandment   n.戒律
commence   v.开始，倡导
commencement   n.开始，(大学的)毕业典礼
commend   v.称赞，颂扬
commendable   adj.值得称赞的
commensurate   adj.同样大小的，相称的
commiserate   v.同情，怜悯
commitment   n.承诺，责任
